"TREATMENT_ID","TREATMENT_DETAIL_ID"
19,158
19,159
19,160
19,161
19,162
19,163
19,164
19,165
19,166
19,167
19,168
19,169
19,170
19,171
19,172
19,173
19,174
19,175
20,176
20,177
20,178
20,179
20,180
20,181
20,182
20,183
20,184
20,185
20,186
20,187
20,188
20,189
20,190
20,191
20,192
20,193
21,194
21,195
21,196
21,197
21,198
21,199
21,200
21,201
21,202
21,203
21,204
21,205
21,206
21,207
21,208
21,209
21,210
21,211
80,212
80,213
80,214
80,215
80,216
80,217
80,218
80,219
80,220
80,221
80,222
80,223
80,224
80,225
80,226
80,227
80,228
80,229
22,230
22,231
22,232
22,233
22,234
22,235
22,236
22,237
22,238
22,239
22,240
22,241
22,242
22,243
22,244
22,245
22,246
22,247
81,248
81,249
81,250
81,251
81,252
81,253
81,254
81,255
81,256
81,257
81,258
81,259
81,260
81,261
81,262
81,263
81,264
81,265
23,266
23,267
23,268
23,269
23,270
23,271
23,272
23,273
23,274
23,275
23,276
23,277
23,278
23,279
23,280
23,281
23,282
23,283
71,284
71,285
71,286
71,287
71,288
71,289
71,290
71,291
71,292
71,293
71,294
71,295
71,296
71,297
71,298
71,299
71,300
71,301
83,302
83,303
83,304
83,305
83,306
83,307
83,308
83,309
83,310
83,311
83,312
83,313
83,314
83,315
83,316
83,317
83,318
83,319
24,320
24,321
24,322
24,323
24,324
24,325
24,326
24,327
24,328
24,329
24,330
24,331
24,332
24,333
24,334
24,335
24,336
24,337
26,338
26,339
26,340
26,341
26,342
26,343
26,344
26,345
26,346
26,347
26,348
26,349
26,350
26,351
26,352
26,353
26,354
26,355
84,356
84,357
84,358
84,359
84,360
84,361
84,362
84,363
84,364
84,365
84,366
84,367
84,368
84,369
84,370
84,371
84,372
84,373
18,374
18,375
18,376
18,377
18,378
18,379
18,380
18,381
18,382
18,383
18,384
18,385
18,386
18,387
18,388
18,389
18,390
18,391
25,392
25,393
25,394
25,395
25,396
25,397
25,398
25,399
25,400
25,401
25,402
25,403
25,404
25,405
25,406
25,407
25,408
25,409
50,410
50,411
50,412
50,413
50,414
50,415
50,416
50,417
50,418
50,419
50,420
50,421
50,422
50,423
50,424
50,425
50,426
50,427
85,428
85,429
85,430
85,431
85,432
85,433
85,434
85,435
85,436
85,437
85,438
85,439
85,440
85,441
85,442
85,443
85,444
85,445
86,446
86,447
86,448
86,449
86,450
86,451
86,452
86,453
86,454
86,455
86,456
86,457
86,458
86,459
86,460
86,461
86,462
86,463
87,464
87,465
87,466
87,467
87,468
87,469
87,470
87,471
87,472
87,473
87,474
87,475
87,476
87,477
87,478
87,479
87,480
87,481
51,482
51,483
51,484
51,485
51,486
51,487
51,488
51,489
51,490
51,491
51,492
51,493
51,494
51,495
51,496
51,497
51,498
51,499
88,500
88,501
88,502
88,503
88,504
88,505
88,506
88,507
88,508
88,509
88,510
88,511
88,512
88,513
88,514
88,515
88,516
88,517
47,518
47,519
47,520
47,521
47,522
47,523
47,524
47,525
47,526
47,527
47,528
47,529
47,530
47,531
47,532
47,533
47,534
47,535
48,536
48,537
48,538
48,539
48,540
48,541
48,542
48,543
48,544
48,545
48,546
48,547
48,548
48,549
48,550
48,551
48,552
48,553
61,554
61,555
61,556
61,557
61,558
61,559
61,560
61,561
61,562
61,563
61,564
61,565
61,566
61,567
61,568
61,569
61,570
61,571
49,572
49,573
49,574
49,575
49,576
49,577
49,578
49,579
49,580
49,581
49,582
49,583
49,584
49,585
49,586
49,587
49,588
49,589
62,590
62,591
62,592
62,593
62,594
62,595
62,596
62,597
62,598
62,599
62,600
62,601
62,602
62,603
62,604
62,605
62,606
62,607
42,608
42,609
42,610
42,611
42,612
42,613
42,614
42,615
42,616
42,617
42,618
42,619
42,620
42,621
42,622
42,623
42,624
42,625
43,626
43,627
43,628
43,629
43,630
43,631
43,632
43,633
43,634
43,635
43,636
43,637
43,638
43,639
43,640
43,641
43,642
43,643
44,644
44,645
44,646
44,647
44,648
44,649
44,650
44,651
44,652
44,653
44,654
44,655
44,656
44,657
44,658
44,659
44,660
44,661
45,662
45,663
45,664
45,665
45,666
45,667
45,668
45,669
45,670
45,671
45,672
45,673
45,674
45,675
45,676
45,677
45,678
45,679
89,680
89,681
89,682
89,683
89,684
89,685
89,686
89,687
89,688
89,689
89,690
89,691
89,692
89,693
89,694
89,695
89,696
89,697
46,698
46,699
46,700
46,701
46,702
46,703
46,704
46,705
46,706
46,707
46,708
46,709
46,710
46,711
46,712
46,713
46,714
46,715
63,716
63,717
63,718
63,719
63,720
63,721
63,722
63,723
63,724
63,725
63,726
63,727
63,728
63,729
63,730
63,731
63,732
63,733
64,734
64,735
64,736
64,737
64,738
64,739
64,740
64,741
64,742
64,743
64,744
64,745
64,746
64,747
64,748
64,749
64,750
64,751
65,752
65,753
65,754
65,755
65,756
65,757
65,758
65,759
65,760
65,761
65,762
65,763
65,764
65,765
65,766
65,767
65,768
65,769
37,770
37,771
37,772
37,773
37,774
37,775
37,776
37,777
37,778
37,779
37,780
37,781
37,782
37,783
37,784
37,785
37,786
37,787
37,788
37,789
37,790
90,791
90,792
90,793
90,794
90,795
90,796
90,797
90,798
90,799
90,800
90,801
90,802
90,803
90,804
90,805
90,806
90,807
90,808
90,809
90,810
90,811
38,812
38,813
38,814
38,815
38,816
38,817
38,818
38,819
38,820
38,821
38,822
38,823
38,824
38,825
38,826
38,827
38,828
38,829
91,830
91,831
91,832
91,833
91,834
91,835
91,836
91,837
91,838
91,839
91,840
91,841
91,842
91,843
91,844
91,845
91,846
91,847
92,848
92,849
92,850
92,851
92,852
92,853
92,854
92,855
92,856
92,857
92,858
92,859
92,860
92,861
92,862
92,863
92,864
92,865
39,866
39,867
39,868
39,869
39,870
39,871
39,872
39,873
39,874
39,875
39,876
39,877
39,878
39,879
39,880
39,881
39,882
39,883
93,884
93,885
93,886
93,887
93,888
93,889
93,890
93,891
93,892
93,893
93,894
93,895
93,896
93,897
93,898
93,899
93,900
93,901
40,902
40,903
40,904
40,905
40,906
40,907
40,908
40,909
40,910
40,911
40,912
40,913
40,914
40,915
40,916
40,917
40,918
40,919
94,920
94,921
94,922
94,923
94,924
94,925
94,926
94,927
94,928
94,929
94,930
94,931
94,932
94,933
94,934
94,935
94,936
94,937
95,938
95,939
95,940
95,941
95,942
95,943
95,944
95,945
95,946
95,947
95,948
95,949
95,950
95,951
95,952
95,953
95,954
95,955
95,956
95,957
66,958
66,959
66,960
66,961
66,962
66,963
66,964
66,965
66,966
66,967
66,968
66,969
66,970
66,971
66,972
66,973
66,974
66,975
96,976
96,977
96,978
96,979
96,980
96,981
96,982
96,983
96,984
96,985
96,986
96,987
96,988
96,989
96,990
96,991
96,992
96,993
96,994
96,995
41,996
41,997
41,998
41,999
41,1000
41,1001
41,1002
41,1003
41,1004
41,1005
41,1006
41,1007
41,1008
41,1009
41,1010
41,1011
41,1012
41,1013
67,1014
67,1015
67,1016
67,1017
67,1018
67,1019
67,1020
67,1021
67,1022
67,1023
67,1024
67,1025
67,1026
67,1027
67,1028
67,1029
67,1030
67,1031
68,1032
68,1033
68,1034
68,1035
68,1036
68,1037
68,1038
68,1039
68,1040
68,1041
68,1042
68,1043
68,1044
68,1045
68,1046
68,1047
68,1048
68,1049
69,1050
69,1051
69,1052
69,1053
69,1054
69,1055
69,1056
69,1057
69,1058
69,1059
69,1060
69,1061
69,1062
69,1063
69,1064
69,1065
69,1066
69,1067
97,1068
97,1069
97,1070
97,1071
97,1072
97,1073
97,1074
97,1075
97,1076
97,1077
97,1078
97,1079
97,1080
97,1081
97,1082
97,1083
97,1084
97,1085
52,1086
52,1087
52,1088
52,1089
52,1090
52,1091
52,1092
52,1093
52,1094
52,1095
52,1096
52,1097
52,1098
52,1099
52,1100
52,1101
52,1102
52,1103
98,1104
98,1105
98,1106
98,1107
98,1108
98,1109
98,1110
98,1111
98,1112
98,1113
98,1114
98,1115
98,1116
98,1117
98,1118
98,1119
98,1120
98,1121
27,1122
27,1123
27,1124
27,1125
27,1126
27,1127
27,1128
27,1129
27,1130
27,1131
27,1132
27,1133
27,1134
27,1135
27,1136
27,1137
27,1138
27,1139
28,1140
28,1141
28,1142
28,1143
28,1144
28,1145
28,1146
28,1147
28,1148
28,1149
28,1150
28,1151
28,1152
28,1153
28,1154
28,1155
28,1156
28,1157
29,1158
29,1159
29,1160
29,1161
29,1162
29,1163
29,1164
29,1165
29,1166
29,1167
29,1168
29,1169
29,1170
29,1171
29,1172
29,1173
29,1174
29,1175
31,1176
31,1177
31,1178
31,1179
31,1180
31,1181
31,1182
31,1183
31,1184
31,1185
31,1186
31,1187
31,1188
31,1189
31,1190
31,1191
31,1192
31,1193
31,1194
31,1195
30,1196
30,1197
30,1198
30,1199
30,1200
30,1201
30,1202
30,1203
30,1204
30,1205
30,1206
30,1207
30,1208
30,1209
30,1210
30,1211
30,1212
30,1213
32,1214
32,1215
32,1216
32,1217
32,1218
32,1219
32,1220
32,1221
32,1222
32,1223
32,1224
32,1225
32,1226
32,1227
32,1228
32,1229
32,1230
32,1231
55,1232
55,1233
55,1234
55,1235
55,1236
55,1237
55,1238
55,1239
55,1240
55,1241
55,1242
55,1243
55,1244
55,1245
55,1246
55,1247
55,1248
55,1249
99,1250
99,1251
99,1252
99,1253
99,1254
99,1255
99,1256
99,1257
99,1258
99,1259
99,1260
99,1261
99,1262
99,1263
99,1264
99,1265
99,1266
99,1267
100,1268
100,1269
100,1270
100,1271
100,1272
100,1273
100,1274
100,1275
100,1276
100,1277
100,1278
100,1279
100,1280
100,1281
100,1282
100,1283
100,1284
100,1285
101,1286
101,1287
101,1288
101,1289
101,1290
101,1291
101,1292
101,1293
101,1294
101,1295
101,1296
101,1297
101,1298
101,1299
101,1300
101,1301
101,1302
101,1303
102,1304
102,1305
102,1306
102,1307
102,1308
102,1309
102,1310
102,1311
102,1312
102,1313
102,1314
102,1315
102,1316
102,1317
102,1318
102,1319
102,1320
102,1321
103,1322
103,1323
103,1324
103,1325
103,1326
103,1327
103,1328
103,1329
103,1330
103,1331
103,1332
103,1333
103,1334
103,1335
103,1336
103,1337
103,1338
103,1339
56,1340
56,1341
56,1342
56,1343
56,1344
56,1345
56,1346
56,1347
56,1348
56,1349
56,1350
56,1351
56,1352
56,1353
56,1354
56,1355
56,1356
56,1357
56,1358
56,1359
56,1360
104,1361
104,1362
104,1363
104,1364
104,1365
104,1366
104,1367
104,1368
104,1369
104,1370
104,1371
104,1372
104,1373
104,1374
104,1375
104,1376
104,1377
104,1378
104,1379
104,1380
104,1381
57,1382
57,1383
57,1384
57,1385
57,1386
57,1387
57,1388
57,1389
57,1390
57,1391
57,1392
57,1393
57,1394
57,1395
57,1396
57,1397
57,1398
57,1399
57,1400
57,1401
57,1402
105,1403
105,1404
105,1405
105,1406
105,1407
105,1408
105,1409
105,1410
105,1411
105,1412
105,1413
105,1414
105,1415
105,1416
105,1417
105,1418
105,1419
105,1420
105,1421
105,1422
105,1423
106,1424
106,1425
106,1426
106,1427
106,1428
106,1429
106,1430
106,1431
106,1432
106,1433
106,1434
106,1435
106,1436
106,1437
106,1438
106,1439
106,1440
106,1441
106,1442
106,1443
106,1444
54,1445
54,1446
54,1447
54,1448
54,1449
54,1450
54,1451
54,1452
54,1453
54,1454
54,1455
54,1456
54,1457
54,1458
54,1459
54,1460
54,1461
54,1462
54,1463
54,1464
54,1465
107,1466
107,1467
107,1468
107,1469
107,1470
107,1471
107,1472
107,1473
107,1474
107,1475
107,1476
107,1477
107,1478
107,1479
107,1480
107,1481
107,1482
107,1483
107,1484
107,1485
107,1486
108,1487
108,1488
108,1489
108,1490
108,1491
108,1492
108,1493
108,1494
108,1495
108,1496
108,1497
108,1498
108,1499
108,1500
108,1501
108,1502
108,1503
108,1504
108,1505
108,1506
108,1507
59,1508
59,1509
59,1510
59,1511
59,1512
59,1513
59,1514
59,1515
59,1516
59,1517
59,1518
59,1519
59,1520
59,1521
59,1522
59,1523
59,1524
59,1525
60,1526
60,1527
60,1528
60,1529
60,1530
60,1531
60,1532
60,1533
60,1534
60,1535
60,1536
60,1537
60,1538
60,1539
60,1540
60,1541
60,1542
60,1543
73,1544
73,1545
73,1546
73,1547
73,1548
73,1549
73,1550
73,1551
73,1552
73,1553
73,1554
73,1555
109,1556
109,1557
109,1558
109,1559
109,1560
109,1561
109,1562
109,1563
109,1564
109,1565
109,1566
109,1567
32,1568
32,1569
32,1570
32,1571
32,1572
32,1573
32,1574
32,1575
